,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link,query_genre
55,SUGA,68,2476725,https://open.spotify.com/artist/0ebNdVaOfp6N0oZ1guIxM8,['k-pop'],Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Lilith (feat. SUGA of BTS) (Diablo IV Anthem),85.0,2023-06-05,180933.0,True,https://open.spotify.com/album/3jN1Hlw2BsZZJigsA2kgBA,https://open.spotify.com/track/3l6LBCOL9nPsSY29TUY2VE,j-pop
56,2NE1,57,2450168,https://open.spotify.com/artist/1l0mKo96Jh9HVYONcRl3Yp,"['dance pop', 'k-pop', 'k-pop girl group']",I Am The Best,I Am The Best,72.0,2014-12-09,208730.0,False,https://open.spotify.com/album/7zjLDZzHo2XgvYwpuNwEvK,https://open.spotify.com/track/26EM9sZnQkLLQxixGd88KE,j-pop
57,Girls' Generation,61,2447875,https://open.spotify.com/artist/0Sadg1vgvaPqGTOjxu0N6c,"['k-pop', 'k-pop girl group']",FOREVER 1,FOREVER 1 - The 7th Album,70.0,2022-08-05,202533.0,False,https://open.spotify.com/album/3CcgnUkTrUaPTt4Ms1MkoP,https://open.spotify.com/track/1oen3GpTcA486fTHaT7neg,j-pop
58,Fujii Kaze,72,2399516,https://open.spotify.com/artist/6bDWAcdtVR3WHz2xtiIPUi,['japanese teen pop'],Shinunoga E-Wa,HELP EVER HURT NEVER,87.0,2020-05-20,185573.0,False,https://open.spotify.com/album/1OojCidx0eoPKch2M0Kz31,https://open.spotify.com/track/0o9zmvc5f3EFApU52PPIyW,j-pop
59,Fujii Kaze,72,2399516,https://open.spotify.com/artist/6bDWAcdtVR3WHz2xtiIPUi,['japanese teen pop'],Shinunoga E-Wa,HELP EVER HURT NEVER,87.0,2020-05-20,185573.0,False,https://open.spotify.com/album/1OojCidx0eoPKch2M0Kz31,https://open.spotify.com/track/0o9zmvc5f3EFApU52PPIyW,japanese
60,Aimer,66,2288220,https://open.spotify.com/artist/0bAsR2unSRpn6BQPEnNlZm,"['anime', 'anime rock', 'j-pixie', 'j-pop', 'j-poprock']",残響散歌,残響散歌,79.0,2021-12-06,184893.0,False,https://open.spotify.com/album/1gfSftIuafqkGu28ely5z6,https://open.spotify.com/track/7v8wKvNQQIxkugCFFjrkaO,j-pop
61,GReeeeN,58,2203930,https://open.spotify.com/artist/14T8NkbwXVZgbOvwnuGV89,"['j-pop', 'j-pop boy group']",キセキ,あっ、ども。おひさしぶりです。,64.0,2008-01-01,271160.0,False,https://open.spotify.com/album/7wWqz8nDIHhHdyM7ObDDix,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts,j-pop
62,ARASHI,61,2185567,https://open.spotify.com/artist/1XYuC1vxinTjHCNd5clB8C,['j-pop'],Love So Sweet,Time,43.0,2007-07-11,289845.0,False,https://open.spotify.com/album/1HTcyUSPm6hs3EQ006sGea,https://open.spotify.com/track/0cdyZ4VMs900wQLHRIyy97,j-pop
63,SEKAI NO OWARI,62,2163971,https://open.spotify.com/artist/7HwzlRPa9Ad0I8rK0FPzzK,"['anime', 'j-pop']",Habit,Habit,71.0,2022-04-28,253153.0,False,https://open.spotify.com/album/690rpRAbQW5LNPrbP27M9U,https://open.spotify.com/track/2uMNMcjjUz8oNIxjIu20qE,j-pop
64,ヨルシカ,67,2142427,https://open.spotify.com/artist/4UK2Lzi6fBfUi9rpDt6cik,['j-pop'],ただ君に晴れ,負け犬にアンコールはいらない,77.0,2018-05-09,198971.0,False,https://open.spotify.com/album/4jEsFbcpgjHiu0rsTdlaOy,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz,j-pop
65,CHUNG HA,59,2118817,https://open.spotify.com/artist/2PSJ6YriU7JsFucxACpU7Y,['k-pop'],When I Get Old,When I Get Old,68.0,2022-10-20,184732.0,False,https://open.spotify.com/album/3mJMHqT2w0HwjQkneNVE14,https://open.spotify.com/track/5f2CcxzZoW7hNs1O8NhG6y,j-pop
66,Jay Park,64,1983578,https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI,"['k-pop', 'k-rap', 'korean r&b']",MOMMAE,Worldwide,71.0,2015-11-05,204991.0,True,https://open.spotify.com/album/5vESroqrGYDxDPAwUceQxf,https://open.spotify.com/track/1LNlfvPQmB0cqYJQQskZ8x,korean
